Scenario,Region,Type,Year,Data,Unit
Reference,CN,Total,2040,1129.951213,Thousand cubic metres
Reference,BC,Conventional Light,2005,4.645081422,Thousand cubic metres
Reference,BC,Conventional Heavy,2005,0,Thousand cubic metres
Reference,BC,C5+,2005,1.20715775,Thousand cubic metres
Reference,BC,Field Condensate,2005,0.769054389,Thousand cubic metres
Reference,BC,Mined Bitumen ,2005,0,Thousand cubic metres
Reference,BC,In Situ Bitumen ,2005,0,Thousand cubic metres
Reference,BC,Total,2005,6.621293561,Thousand cubic metres
Reference,BC,Conventional Light,2006,4.506633312,Thousand cubic metres
Reference,BC,Conventional Heavy,2006,0,Thousand cubic metres
Reference,BC,C5+,2006,1.248917833,Thousand cubic metres
Reference,BC,Field Condensate,2006,0.795658845,Thousand cubic metres
Reference,BC,Mined Bitumen ,2006,0,Thousand cubic metres
Reference,BC,In Situ Bitumen ,2006,0,Thousand cubic metres
Reference,BC,Total,2006,6.55120999,Thousand cubic metres
Reference,BC,Conventional Light,2007,4.045027321,Thousand cubic metres
Reference,BC,Conventional Heavy,2007,0,Thousand cubic metres
Reference,BC,C5+,2007,1.187734456,Thousand cubic metres
Reference,BC,Field Condensate,2007,0.756680223,Thousand cubic metres
Reference,BC,Mined Bitumen ,2007,0,Thousand cubic metres
Reference,BC,In Situ Bitumen ,2007,0,Thousand cubic metres
Reference,BC,Total,2007,5.989442,Thousand cubic metres
Reference,BC,Conventional Light,2008,3.676583333,Thousand cubic metres
Reference,BC,Conventional Heavy,2008,0,Thousand cubic metres
Reference,BC,C5+,2008,1.147916702,Thousand cubic metres
Reference,BC,Field Condensate,2008,0.731313184,Thousand cubic metres
Reference,BC,Mined Bitumen ,2008,0,Thousand cubic metres
Reference,BC,In Situ Bitumen ,2008,0,Thousand cubic metres
Reference,BC,Total,2008,5.555813219,Thousand cubic metres
Reference,BC,Conventional Light,2009,3.498221682,Thousand cubic metres
Reference,BC,Conventional Heavy,2009,0,Thousand cubic metres
Reference,BC,C5+,2009,1.205215421,Thousand cubic metres
Reference,BC,Field Condensate,2009,0.767816972,Thousand cubic metres
Reference,BC,Mined Bitumen ,2009,0,Thousand cubic metres
Reference,BC,In Situ Bitumen ,2009,0,Thousand cubic metres
Reference,BC,Total,2009,5.471254075,Thousand cubic metres
Reference,BC,Conventional Light,2010,3.464912858,Thousand cubic metres
Reference,BC,Conventional Heavy,2010,0,Thousand cubic metres
Reference,BC,C5+,2010,1.147004337,Thousand cubic metres
Reference,BC,Field Condensate,2010,0.675843247,Thousand cubic metres
Reference,BC,Mined Bitumen ,2010,0,Thousand cubic metres
Reference,BC,In Situ Bitumen ,2010,0,Thousand cubic metres
Reference,BC,Total,2010,5.287760442,Thousand cubic metres
Reference,BC,Conventional Light,2011,3.237543021,Thousand cubic metres
Reference,BC,Conventional Heavy,2011,0,Thousand cubic metres
Reference,BC,C5+,2011,1.344754648,Thousand cubic metres
Reference,BC,Field Condensate,2011,1.11255942,Thousand cubic metres
Reference,BC,Mined Bitumen ,2011,0,Thousand cubic metres
Reference,BC,In Situ Bitumen ,2011,0,Thousand cubic metres
Reference,BC,Total,2011,5.694857089,Thousand cubic metres
Reference,BC,Conventional Light,2012,3.325756397,Thousand cubic metres
Reference,BC,Conventional Heavy,2012,0,Thousand cubic metres
Reference,BC,C5+,2012,1.414667088,Thousand cubic metres
Reference,BC,Field Condensate,2012,1.503389473,Thousand cubic metres
Reference,BC,Mined Bitumen ,2012,0,Thousand cubic metres
Reference,BC,In Situ Bitumen ,2012,0,Thousand cubic metres
Reference,BC,Total,2012,6.243812958,Thousand cubic metres
Reference,BC,Conventional Light,2013,3.123667602,Thousand cubic metres
Reference,BC,Conventional Heavy,2013,0,Thousand cubic metres
Reference,BC,C5+,2013,1.691613266,Thousand cubic metres
Reference,BC,Field Condensate,2013,2.082871631,Thousand cubic metres
Reference,BC,Mined Bitumen ,2013,0,Thousand cubic metres
Reference,BC,In Situ Bitumen ,2013,0,Thousand cubic metres
Reference,BC,Total,2013,6.898152499,Thousand cubic metres
Reference,BC,Conventional Light,2014,3.412923982,Thousand cubic metres
Reference,BC,Conventional Heavy,2014,0,Thousand cubic metres
Reference,BC,C5+,2014,2.124874009,Thousand cubic metres
Reference,BC,Field Condensate,2014,2.813018103,Thousand cubic metres
