province,source,scenario,year,value,unit
BC,total,reference,2030,87079.1047,GW.h
MB,total,reference,2030,48970.9735,GW.h
NB,total,reference,2030,10038.7172,GW.h
NL,total,reference,2030,43170.3743,GW.h
NS,total,reference,2030,6796.3348,GW.h
NT,total,reference,2030,367.26,GW.h
NU,total,reference,2030,126.8464,GW.h
ON,total,reference,2030,145490.4964,GW.h
PE,total,reference,2030,917.1188,GW.h
QC,total,reference,2030,219353.0747,GW.h
SK,total,reference,2030,27152.1846,GW.h
YT,total,reference,2030,439.3666,GW.h
all,total,reference,2031,688359.2245,GW.h
AB,total,reference,2031,97442.022,GW.h
BC,total,reference,2031,87755.0596,GW.h
MB,total,reference,2031,49077.4076,GW.h
NB,total,reference,2031,10051.2469,GW.h
NL,total,reference,2031,43185.4915,GW.h
NS,total,reference,2031,6829.3988,GW.h
NT,total,reference,2031,367.391,GW.h
NU,total,reference,2031,129.904,GW.h
ON,total,reference,2031,142387.0738,GW.h
PE,total,reference,2031,917.1188,GW.h
QC,total,reference,2031,222515.6273,GW.h
SK,total,reference,2031,27260.7998,GW.h
YT,total,reference,2031,440.6834,GW.h
all,total,reference,2032,695176.7515,GW.h
AB,total,reference,2032,98500.5128,GW.h
BC,total,reference,2032,88004.3961,GW.h
MB,total,reference,2032,49105.0015,GW.h
NB,total,reference,2032,10049.4283,GW.h
NL,total,reference,2032,43194.2442,GW.h
NS,total,reference,2032,7005.4186,GW.h
NT,total,reference,2032,367.391,GW.h
NU,total,reference,2032,130.8252,GW.h
ON,total,reference,2032,147454.3697,GW.h
PE,total,reference,2032,917.1188,GW.h
QC,total,reference,2032,222640.0343,GW.h
SK,total,reference,2032,27359.7527,GW.h
YT,total,reference,2032,448.2583,GW.h
all,total,reference,2033,698476.425,GW.h
AB,total,reference,2033,99912.4652,GW.h
BC,total,reference,2033,88278.3558,GW.h
MB,total,reference,2033,49211.4566,GW.h
NB,total,reference,2033,10046.2917,GW.h
NL,total,reference,2033,43185.0656,GW.h
NS,total,reference,2033,7037.5679,GW.h
NT,total,reference,2033,367.0843,GW.h
NU,total,reference,2033,131.9172,GW.h
ON,total,reference,2033,148122.158,GW.h
PE,total,reference,2033,917.1188,GW.h
QC,total,reference,2033,223353.1453,GW.h
SK,total,reference,2033,27464.18,GW.h
YT,total,reference,2033,449.6186,GW.h
all,total,reference,2034,703338.1673,GW.h
AB,total,reference,2034,100929.988,GW.h
BC,total,reference,2034,88542.1405,GW.h
MB,total,reference,2034,49212.7695,GW.h
NB,total,reference,2034,10043.1497,GW.h
NL,total,reference,2034,43176.4572,GW.h
NS,total,reference,2034,6798.4558,GW.h
NT,total,reference,2034,367.216,GW.h
NU,total,reference,2034,132.6162,GW.h
ON,total,reference,2034,153256.5234,GW.h
PE,total,reference,2034,917.1188,GW.h
QC,total,reference,2034,221958.1346,GW.h
SK,total,reference,2034,27572.7283,GW.h
