province,source,scenario,year,value,unit
NS,total,reference,2027,8298.701,GW.h
NT,total,reference,2027,372.6375,GW.h
NU,total,reference,2027,280.9989,GW.h
ON,total,reference,2027,138988.7,GW.h
PE,total,reference,2027,853.8853,GW.h
QC,total,reference,2027,221084.2,GW.h
SK,total,reference,2027,25297.58,GW.h
YT,total,reference,2027,575.4511,GW.h
all,total,reference,2028,686824.5,GW.h
AB,total,reference,2028,92570.93,GW.h
BC,total,reference,2028,87470.34,GW.h
MB,total,reference,2028,45061.91,GW.h
NB,total,reference,2028,9156.812,GW.h
NL,total,reference,2028,46333.81,GW.h
NS,total,reference,2028,8299.071,GW.h
NT,total,reference,2028,372.7248,GW.h
NU,total,reference,2028,283.6699,GW.h
ON,total,reference,2028,147545.5,GW.h
PE,total,reference,2028,857.1736,GW.h
QC,total,reference,2028,222565.9,GW.h
SK,total,reference,2028,25722.4,GW.h
YT,total,reference,2028,584.2112,GW.h
all,total,reference,2029,689921.9,GW.h
AB,total,reference,2029,93914.77,GW.h
BC,total,reference,2029,87833.61,GW.h
MB,total,reference,2029,49401.45,GW.h
NB,total,reference,2029,9112.256,GW.h
NL,total,reference,2029,46355.97,GW.h
NS,total,reference,2029,8381.443,GW.h
NT,total,reference,2029,375.0461,GW.h
NU,total,reference,2029,287.1382,GW.h
ON,total,reference,2029,144411.7,GW.h
PE,total,reference,2029,870.1928,GW.h
QC,total,reference,2029,222566.2,GW.h
SK,total,reference,2029,25854.29,GW.h
YT,total,reference,2029,557.8872,GW.h
all,total,reference,2030,700350.9,GW.h
AB,total,reference,2030,95883.56,GW.h
BC,total,reference,2030,88330.22,GW.h
MB,total,reference,2030,49396.39,GW.h
NB,total,reference,2030,9340.74,GW.h
NL,total,reference,2030,46378.8,GW.h
NS,total,reference,2030,8444.619,GW.h
NT,total,reference,2030,377.7105,GW.h
NU,total,reference,2030,292.4299,GW.h
ON,total,reference,2030,149461.2,GW.h
PE,total,reference,2030,956.0657,GW.h
QC,total,reference,2030,224948.6,GW.h
SK,total,reference,2030,26006.46,GW.h
YT,total,reference,2030,534.1543,GW.h
all,total,reference,2031,703801.8,GW.h
AB,total,reference,2031,97524.88,GW.h
BC,total,reference,2031,89425.27,GW.h
MB,total,reference,2031,49502.38,GW.h
NB,total,reference,2031,9345.044,GW.h
NL,total,reference,2031,46415.27,GW.h
NS,total,reference,2031,8506.982,GW.h
NT,total,reference,2031,378.1913,GW.h
NU,total,reference,2031,293.0001,GW.h
ON,total,reference,2031,146852.3,GW.h
PE,total,reference,2031,979.5066,GW.h
QC,total,reference,2031,227877,GW.h
SK,total,reference,2031,26166.16,GW.h
YT,total,reference,2031,535.8151,GW.h
all,total,reference,2032,709835.2,GW.h
AB,total,reference,2032,98429.74,GW.h
BC,total,reference,2032,90011.61,GW.h
MB,total,reference,2032,49520.77,GW.h
NB,total,reference,2032,9476.425,GW.h
NL,total,reference,2032,46456.4,GW.h
NS,total,reference,2032,8573.648,GW.h
NT,total,reference,2032,378.7623,GW.h
NU,total,reference,2032,297.5208,GW.h
ON,total,reference,2032,150954.3,GW.h
PE,total,reference,2032,998.7557,GW.h
QC,total,reference,2032,227903.3,GW.h
SK,total,reference,2032,26289.24,GW.h
YT,total,reference,2032,544.7935,GW.h
all,total,reference,2033,712905.4,GW.h
AB,total,reference,2033,100226.5,GW.h
BC,total,reference,2033,90532.28,GW.h
MB,total,reference,2033,49626.77,GW.h
NB,total,reference,2033,9486.164,GW.h
NL,total,reference,2033,46502.79,GW.h
NS,total,reference,2033,8619.326,GW.h
NT,total,reference,2033,378.8496,GW.h
NU,total,reference,2033,302.0229,GW.h
ON,total,reference,2033,151370.2,GW.h
PE,total,reference,2033,1011.836,GW.h
QC,total,reference,2033,227903.4,GW.h
SK,total,reference,2033,26447.84,GW.h
YT,total,reference,2033,497.2697,GW.h
all,total,reference,2034,718843.6,GW.h
AB,total,reference,2034,102022.8,GW.h
BC,total,reference,2034,90324.84,GW.h
MB,total,reference,2034,49627.64,GW.h
NB,total,reference,2034,9465.939,GW.h
NL,total,reference,2034,46560.82,GW.h
NS,total,reference,2034,8667.979,GW.h
NT,total,reference,2034,379.0685,GW.h
NU,total,reference,2034,301.9351,GW.h
ON,total,reference,2034,155468.2,GW.h
PE,total,reference,2034,1024.808,GW.h
QC,total,reference,2034,227903.4,GW.h
SK,total,reference,2034,26597.24,GW.h
YT,total,reference,2034,498.9802,GW.h
all,total,reference,2035,722268.2,GW.h
AB,total,reference,2035,104235.4,GW.h
BC,total,reference,2035,90136.58,GW.h
MB,total,reference,2035,49628.52,GW.h
NB,total,reference,2035,9462.663,GW.h
NL,total,reference,2035,46621.98,GW.h
NS,total,reference,2035,8713.896,GW.h
NT,total,reference,2035,380.1168,GW.h
NU,total,reference,2035,304.6939,GW.h
ON,total,reference,2035,156424.5,GW.h
PE,total,reference,2035,1039.873,GW.h
QC,total,reference,2035,228059.9,GW.h
SK,total,reference,2035,26756.69,GW.h
YT,total,reference,2035,503.3652,GW.h
all,total,reference,2036,724632.1,GW.h
AB,total,reference,2036,106324.2,GW.h
BC,total,reference,2036,90254.73,GW.h
MB,total,reference,2036,49277.61,GW.h
NB,total,reference,2036,9478.61,GW.h
NL,total,reference,2036,46696.82,GW.h
NS,total,reference,2036,8746.086,GW.h
NT,total,reference,2036,380.1604,GW.h
NU,total,reference,2036,310.9147,GW.h
ON,total,reference,2036,156619.2,GW.h
PE,total,reference,2036,1052.375,GW.h
QC,total,reference,2036,228085.9,GW.h
SK,total,reference,2036,26901.75,GW.h
YT,total,reference,2036,503.6285,GW.h
all,total,reference,2037,727630.6,GW.h
AB,total,reference,2037,107903.1,GW.h
BC,total,reference,2037,90750.95,GW.h
MB,total,reference,2037,49284.39,GW.h
NB,total,reference,2037,9474.787,GW.h
NL,total,reference,2037,46762.01,GW.h
NS,total,reference,2037,8784.043,GW.h
NT,total,reference,2037,381.2145,GW.h
NU,total,reference,2037,314.0681,GW.h
ON,total,reference,2037,157254.5,GW.h
PE,total,reference,2037,1066.045,GW.h
QC,total,reference,2037,228086,GW.h
SK,total,reference,2037,27061.59,GW.h
YT,total,reference,2037,507.8714,GW.h
all,total,reference,2038,731186.1,GW.h
AB,total,reference,2038,109713,GW.h
BC,total,reference,2038,91292.03,GW.h
MB,total,reference,2038,49439.26,GW.h
NB,total,reference,2038,9475.889,GW.h
NL,total,reference,2038,46840.26,GW.h
NS,total,reference,2038,8828.017,GW.h
NT,total,reference,2038,384.2865,GW.h
NU,total,reference,2038,321.1655,GW.h
ON,total,reference,2038,157637.5,GW.h
PE,total,reference,2038,1075.991,GW.h
QC,total,reference,2038,228436.5,GW.h
SK,total,reference,2038,27232.5,GW.h
YT,total,reference,2038,509.7096,GW.h
all,total,reference,2039,734421.7,GW.h
AB,total,reference,2039,111264.9,GW.h
BC,total,reference,2039,91741.74,GW.h
MB,total,reference,2039,49650.02,GW.h
NB,total,reference,2039,9486.014,GW.h
NL,total,reference,2039,46911.46,GW.h
NS,total,reference,2039,8858.025,GW.h
NT,total,reference,2039,384.2866,GW.h
NU,total,reference,2039,323.1786,GW.h
ON,total,reference,2039,157883.8,GW.h
PE,total,reference,2039,1083.954,GW.h
QC,total,reference,2039,228852.5,GW.h
SK,total,reference,2039,27472.06,GW.h
YT,total,reference,2039,509.7972,GW.h
all,total,reference,2040,737322.9,GW.h
AB,total,reference,2040,112777.7,GW.h
BC,total,reference,2040,92138.2,GW.h
MB,total,reference,2040,49707.07,GW.h
NB,total,reference,2040,9333.143,GW.h
NL,total,reference,2040,46970.1,GW.h
NS,total,reference,2040,8887.08,GW.h
NT,total,reference,2040,384.3739,GW.h
NU,total,reference,2040,331.8069,GW.h
ON,total,reference,2040,158242.3,GW.h
PE,total,reference,2040,1095.184,GW.h
QC,total,reference,2040,229294.8,GW.h
SK,total,reference,2040,27646.61,GW.h
YT,total,reference,2040,514.5809,GW.h
AB,hydro,reference,2005,2316,GW.h
BC,hydro,reference,2005,60327,GW.h
MB,hydro,reference,2005,36440,GW.h
NB,hydro,reference,2005,3875,GW.h
NL,hydro,reference,2005,40741.37,GW.h
NS,hydro,reference,2005,941.0828,GW.h
