province,source,scenario,year,value,unit
MB,total,reference,2025,53530.0065,GW.h
NB,total,reference,2025,11880.6321,GW.h
NL,total,reference,2025,44975.1253,GW.h
NS,total,reference,2025,10350.8376,GW.h
NT,total,reference,2025,1069.9649,GW.h
NU,total,reference,2025,167.4451,GW.h
ON,total,reference,2025,161565.1781,GW.h
PE,total,reference,2025,623.46,GW.h
QC,total,reference,2025,211521.8821,GW.h
SK,total,reference,2025,28993.286,GW.h
YT,total,reference,2025,503.1617,GW.h
all,total,reference,2026,721669.7067000001,GW.h
AB,total,reference,2026,111659.1592,GW.h
BC,total,reference,2026,81703.8776,GW.h
MB,total,reference,2026,53782.8171,GW.h
NB,total,reference,2026,11922.4469,GW.h
NL,total,reference,2026,45103.9078,GW.h
NS,total,reference,2026,10742.4667,GW.h
NT,total,reference,2026,1069.9649,GW.h
NU,total,reference,2026,167.4451,GW.h
ON,total,reference,2026,162191.1072,GW.h
PE,total,reference,2026,650.501,GW.h
QC,total,reference,2026,212850.7086,GW.h
SK,total,reference,2026,29319.0392,GW.h
YT,total,reference,2026,506.2654,GW.h
all,total,reference,2027,725552.9629,GW.h
AB,total,reference,2027,113405.7283,GW.h
BC,total,reference,2027,82067.9208,GW.h
MB,total,reference,2027,54038.9062,GW.h
NB,total,reference,2027,11701.3864,GW.h
NL,total,reference,2027,45132.9753,GW.h
NS,total,reference,2027,10829.0868,GW.h
NT,total,reference,2027,1069.9653,GW.h
NU,total,reference,2027,167.4451,GW.h
ON,total,reference,2027,163694.3352,GW.h
PE,total,reference,2027,663.165,GW.h
QC,total,reference,2027,212619.3263,GW.h
SK,total,reference,2027,29659.0777,GW.h
YT,total,reference,2027,503.6445,GW.h
all,total,reference,2028,732520.8268,GW.h
AB,total,reference,2028,115319.6634,GW.h
BC,total,reference,2028,82472.694,GW.h
MB,total,reference,2028,54289.8071,GW.h
NB,total,reference,2028,13975.7801,GW.h
NL,total,reference,2028,44929.8066,GW.h
NS,total,reference,2028,10917.1473,GW.h
NT,total,reference,2028,1069.9658,GW.h
NU,total,reference,2028,167.4451,GW.h
ON,total,reference,2028,168525.4816,GW.h
PE,total,reference,2028,692.4571,GW.h
QC,total,reference,2028,209658.7514,GW.h
SK,total,reference,2028,29997.5276,GW.h
YT,total,reference,2028,504.2997,GW.h
all,total,reference,2029,738448.1219,GW.h
AB,total,reference,2029,115770.7426,GW.h
BC,total,reference,2029,82945.4709,GW.h
MB,total,reference,2029,54519.9465,GW.h
NB,total,reference,2029,14027.4747,GW.h
NL,total,reference,2029,44961.2197,GW.h
NS,total,reference,2029,11302.4541,GW.h
NT,total,reference,2029,1010.5397,GW.h
NU,total,reference,2029,167.4451,GW.h
ON,total,reference,2029,169694.7362,GW.h
PE,total,reference,2029,712.9632,GW.h
QC,total,reference,2029,211182.2003,GW.h
SK,total,reference,2029,31644.8287,GW.h
YT,total,reference,2029,508.1002,GW.h
all,total,reference,2030,744835.7927,GW.h
AB,total,reference,2030,116958.9695,GW.h
BC,total,reference,2030,84228.7111,GW.h
MB,total,reference,2030,54710.5543,GW.h
NB,total,reference,2030,14139.542,GW.h
NL,total,reference,2030,45003.8767,GW.h
NS,total,reference,2030,11398.3344,GW.h
NT,total,reference,2030,1025.6236,GW.h
NU,total,reference,2030,168.936,GW.h
ON,total,reference,2030,170977.2108,GW.h
PE,total,reference,2030,766.3441,GW.h
QC,total,reference,2030,212828.3124,GW.h
SK,total,reference,2030,32118.8219,GW.h
YT,total,reference,2030,510.5559,GW.h
all,total,reference,2031,751285.9346,GW.h
AB,total,reference,2031,119318.7092,GW.h
BC,total,reference,2031,84874.3512,GW.h
MB,total,reference,2031,54950.2558,GW.h
NB,total,reference,2031,14185.0395,GW.h
NL,total,reference,2031,45076.8225,GW.h
NS,total,reference,2031,11195.4708,GW.h
NT,total,reference,2031,1025.6248,GW.h
NU,total,reference,2031,171.5568,GW.h
ON,total,reference,2031,172314.8434,GW.h
PE,total,reference,2031,781.716,GW.h
QC,total,reference,2031,214526.0129,GW.h
SK,total,reference,2031,32356.1177,GW.h
YT,total,reference,2031,509.414,GW.h
all,total,reference,2032,757091.3573,GW.h
AB,total,reference,2032,120663.3784,GW.h
BC,total,reference,2032,85232.7065,GW.h
MB,total,reference,2032,55152.1554,GW.h
NB,total,reference,2032,14234.8429,GW.h
NL,total,reference,2032,45128.9662,GW.h
NS,total,reference,2032,11161.4046,GW.h
NT,total,reference,2032,1006.6863,GW.h
NU,total,reference,2032,171.8188,GW.h
ON,total,reference,2032,173640.2233,GW.h
PE,total,reference,2032,796.8333,GW.h
QC,total,reference,2032,216203.4814,GW.h
SK,total,reference,2032,33187.1253,GW.h
YT,total,reference,2032,511.7349,GW.h
all,total,reference,2033,762854.7588999999,GW.h
AB,total,reference,2033,122408.9155,GW.h
BC,total,reference,2033,85749.1181,GW.h
MB,total,reference,2033,55363.1333,GW.h
NB,total,reference,2033,14274.3979,GW.h
NL,total,reference,2033,45186.6102,GW.h
NS,total,reference,2033,11223.0015,GW.h
NT,total,reference,2033,1006.6883,GW.h
NU,total,reference,2033,172.8672,GW.h
ON,total,reference,2033,174945.4455,GW.h
PE,total,reference,2033,800.5227,GW.h
QC,total,reference,2033,217801.2242,GW.h
SK,total,reference,2033,33410.1371,GW.h
YT,total,reference,2033,512.6974,GW.h
all,total,reference,2034,768692.5748999999,GW.h
AB,total,reference,2034,124215.8546,GW.h
BC,total,reference,2034,85976.0366,GW.h
MB,total,reference,2034,55547.6981,GW.h
NB,total,reference,2034,14316.1099,GW.h
NL,total,reference,2034,45264.4842,GW.h
NS,total,reference,2034,11649.7379,GW.h
NT,total,reference,2034,1006.6894,GW.h
NU,total,reference,2034,172.8672,GW.h
ON,total,reference,2034,175089.3768,GW.h
PE,total,reference,2034,812.6445,GW.h
QC,total,reference,2034,220552.9562,GW.h
SK,total,reference,2034,33575.5542,GW.h
YT,total,reference,2034,512.5653,GW.h
all,total,reference,2035,773251.064,GW.h
AB,total,reference,2035,125840.7974,GW.h
BC,total,reference,2035,86519.8419,GW.h
MB,total,reference,2035,55730.2706,GW.h
NB,total,reference,2035,14362.3139,GW.h
NL,total,reference,2035,45331.0396,GW.h
NS,total,reference,2035,11620.9229,GW.h
NT,total,reference,2035,1007.1558,GW.h
NU,total,reference,2035,172.8672,GW.h
ON,total,reference,2035,175387.01,GW.h
PE,total,reference,2035,823.7125,GW.h
QC,total,reference,2035,222037.2823,GW.h
SK,total,reference,2035,33913.6956,GW.h
YT,total,reference,2035,504.1543,GW.h
all,total,reference,2036,778058.3271,GW.h
AB,total,reference,2036,127518.2043,GW.h
BC,total,reference,2036,86670.2567,GW.h
MB,total,reference,2036,55850.5352,GW.h
NB,total,reference,2036,14390.0119,GW.h
NL,total,reference,2036,45418.9509,GW.h
NS,total,reference,2036,11595.8897,GW.h
NT,total,reference,2036,1007.1571,GW.h
NU,total,reference,2036,172.8671,GW.h
ON,total,reference,2036,176569.2981,GW.h
PE,total,reference,2036,830.037,GW.h
QC,total,reference,2036,223421.0198,GW.h
SK,total,reference,2036,34102.3682,GW.h
YT,total,reference,2036,511.7311,GW.h
all,total,reference,2037,782373.5937,GW.h
AB,total,reference,2037,128957.6563,GW.h
BC,total,reference,2037,87034.3274,GW.h
MB,total,reference,2037,56040.3008,GW.h
NB,total,reference,2037,14429.4328,GW.h
NL,total,reference,2037,45507.4315,GW.h
NS,total,reference,2037,11632.9685,GW.h
NT,total,reference,2037,1007.158,GW.h
NU,total,reference,2037,175.5024,GW.h
ON,total,reference,2037,177788.5741,GW.h
PE,total,reference,2037,842.1589,GW.h
QC,total,reference,2037,224806.4335,GW.h
SK,total,reference,2037,33637.4248,GW.h
YT,total,reference,2037,514.2247,GW.h
all,total,reference,2038,787057.6177000001,GW.h
AB,total,reference,2038,130609.4284,GW.h
BC,total,reference,2038,87174.761,GW.h
MB,total,reference,2038,56165.8059,GW.h
NB,total,reference,2038,14459.6711,GW.h
NL,total,reference,2038,45588.0713,GW.h
NS,total,reference,2038,11670.9083,GW.h
NT,total,reference,2038,1007.1339,GW.h
NU,total,reference,2038,175.9416,GW.h
ON,total,reference,2038,178966.5989,GW.h
PE,total,reference,2038,845.6584,GW.h
QC,total,reference,2038,226179.86,GW.h
SK,total,reference,2038,33701.4799,GW.h
YT,total,reference,2038,512.299,GW.h
all,total,reference,2039,791557.2858,GW.h
AB,total,reference,2039,132090.8323,GW.h
BC,total,reference,2039,87342.9207,GW.h
MB,total,reference,2039,56268.5105,GW.h
NB,total,reference,2039,14479.554,GW.h
NL,total,reference,2039,45702.6585,GW.h
NS,total,reference,2039,11687.6594,GW.h
NT,total,reference,2039,1007.1351,GW.h
NU,total,reference,2039,176.3784,GW.h
ON,total,reference,2039,180070.013,GW.h
PE,total,reference,2039,853.5641,GW.h
QC,total,reference,2039,227531.515,GW.h
SK,total,reference,2039,33834.0711,GW.h
YT,total,reference,2039,512.4737,GW.h
all,total,reference,2040,795837.5834,GW.h
AB,total,reference,2040,133704.5463,GW.h
BC,total,reference,2040,87495.4047,GW.h
MB,total,reference,2040,56381.5211,GW.h
NB,total,reference,2040,14108.9276,GW.h
NL,total,reference,2040,45814.6946,GW.h
NS,total,reference,2040,11739.3898,GW.h
NT,total,reference,2040,1004.5006,GW.h
NU,total,reference,2040,179.2613,GW.h
ON,total,reference,2040,181219.0308,GW.h
PE,total,reference,2040,861.4696,GW.h
QC,total,reference,2040,228908.4582,GW.h
SK,total,reference,2040,33907.9491,GW.h
YT,total,reference,2040,512.4297,GW.h
all,total,high,2005,600549.7651,GW.h
AB,total,high,2005,65258.2415,GW.h
BC,total,high,2005,69030.2405,GW.h
MB,total,high,2005,34077.3811,GW.h
NB,total,high,2005,16533.1088,GW.h
NL,total,high,2005,41534.3986,GW.h
NS,total,high,2005,12503.6989,GW.h
NT,total,high,2005,684.394,GW.h
NU,total,high,2005,148.881,GW.h
ON,total,high,2005,154991.019,GW.h
PE,total,high,2005,7.739,GW.h
QC,total,high,2005,183852.873,GW.h
SK,total,high,2005,21574.6557,GW.h
YT,total,high,2005,353.134,GW.h
all,total,high,2006,610740.197,GW.h
AB,total,high,2006,65624.2617,GW.h
BC,total,high,2006,69020.4205,GW.h
MB,total,high,2006,34402.4961,GW.h
NB,total,high,2006,16533.1088,GW.h
NL,total,high,2006,41534.3986,GW.h
NS,total,high,2006,12533.6969,GW.h
NT,total,high,2006,684.394,GW.h
NU,total,high,2006,148.881,GW.h
ON,total,high,2006,157278.58,GW.h
PE,total,high,2006,7.739,GW.h
QC,total,high,2006,190843.3467,GW.h
SK,total,high,2006,21775.7397,GW.h
YT,total,high,2006,353.134,GW.h
all,total,high,2007,612469.2689,GW.h
AB,total,high,2007,65814.6177,GW.h
BC,total,high,2007,69609.3105,GW.h
MB,total,high,2007,34402.496,GW.h
NB,total,high,2007,16533.1088,GW.h
NL,total,high,2007,41534.3986,GW.h
NS,total,high,2007,12574.0389,GW.h
NT,total,high,2007,684.394,GW.h
NU,total,high,2007,148.881,GW.h
ON,total,high,2007,157278.58,GW.h
PE,total,high,2007,32.623,GW.h
QC,total,high,2007,191727.9467,GW.h
SK,total,high,2007,21775.7397,GW.h
YT,total,high,2007,353.134,GW.h
all,total,high,2008,617809.4494,GW.h
AB,total,high,2008,66661.4254,GW.h
BC,total,high,2008,65813.6923,GW.h
MB,total,high,2008,35564.098,GW.h
NB,total,high,2008,14125.8361,GW.h
NL,total,high,2008,43279.1298,GW.h
NS,total,high,2008,12217.1131,GW.h
