province,sector,source,scenario,year,value,unit
NL,total,total,reference,2033,140.3108,Petajoules
NS,total,total,reference,2033,148.7507,Petajoules
NT,total,total,reference,2033,15.0775,Petajoules
NU,total,total,reference,2033,6.4527,Petajoules
ON,total,total,reference,2033,3117.138,Petajoules
PE,total,total,reference,2033,24.3055,Petajoules
QC,total,total,reference,2033,1806.6455,Petajoules
SK,total,total,reference,2033,715.6211,Petajoules
YT,total,total,reference,2033,6.468,Petajoules
all,total,total,reference,2034,12137.0822,Petajoules
AB,total,total,reference,2034,4426.2418,Petajoules
BC,total,total,reference,2034,1207.7143,Petajoules
MB,total,total,reference,2034,308.5336,Petajoules
NB,total,total,reference,2034,213.3026,Petajoules
NL,total,total,reference,2034,139.2784,Petajoules
NS,total,total,reference,2034,147.8699,Petajoules
NT,total,total,reference,2034,14.9628,Petajoules
NU,total,total,reference,2034,6.4702,Petajoules
ON,total,total,reference,2034,3119.5822,Petajoules
PE,total,total,reference,2034,24.2084,Petajoules
QC,total,total,reference,2034,1808.4188,Petajoules
SK,total,total,reference,2034,713.9633,Petajoules
YT,total,total,reference,2034,6.5364,Petajoules
all,total,total,reference,2035,12154.6217,Petajoules
AB,total,total,reference,2035,4442.7203,Petajoules
BC,total,total,reference,2035,1207.918,Petajoules
MB,total,total,reference,2035,308.296,Petajoules
NB,total,total,reference,2035,212.4216,Petajoules
NL,total,total,reference,2035,138.485,Petajoules
NS,total,total,reference,2035,146.9813,Petajoules
NT,total,total,reference,2035,14.8554,Petajoules
NU,total,total,reference,2035,6.4834,Petajoules
ON,total,total,reference,2035,3121.3721,Petajoules
PE,total,total,reference,2035,24.0726,Petajoules
QC,total,total,reference,2035,1809.5524,Petajoules
SK,total,total,reference,2035,715.3156,Petajoules
YT,total,total,reference,2035,6.1478,Petajoules
all,total,total,reference,2036,12175.2055,Petajoules
AB,total,total,reference,2036,4464.4694,Petajoules
BC,total,total,reference,2036,1207.5604,Petajoules
MB,total,total,reference,2036,307.9703,Petajoules
NB,total,total,reference,2036,211.5296,Petajoules
NL,total,total,reference,2036,136.1267,Petajoules
NS,total,total,reference,2036,146.0726,Petajoules
NT,total,total,reference,2036,14.7604,Petajoules
NU,total,total,reference,2036,6.4979,Petajoules
ON,total,total,reference,2036,3122.8986,Petajoules
PE,total,total,reference,2036,23.9797,Petajoules
QC,total,total,reference,2036,1809.9221,Petajoules
SK,total,total,reference,2036,717.3672,Petajoules
YT,total,total,reference,2036,6.0492,Petajoules
all,total,total,reference,2037,12174.5452,Petajoules
AB,total,total,reference,2037,4466.3521,Petajoules
BC,total,total,reference,2037,1206.2515,Petajoules
MB,total,total,reference,2037,307.5416,Petajoules
NB,total,total,reference,2037,210.6451,Petajoules
NL,total,total,reference,2037,133.7424,Petajoules
NS,total,total,reference,2037,145.0922,Petajoules
NT,total,total,reference,2037,14.6665,Petajoules
