province,sector,source,scenario,year,value,unit
NL,total,total,reference,2035,143.7611,Petajoules
NS,total,total,reference,2035,157.526,Petajoules
NT,total,total,reference,2035,5.6623,Petajoules
NU,total,total,reference,2035,15.7888,Petajoules
ON,total,total,reference,2035,3210.7737,Petajoules
PE,total,total,reference,2035,27.7122,Petajoules
QC,total,total,reference,2035,1913.1558,Petajoules
SK,total,total,reference,2035,663.2701,Petajoules
YT,total,total,reference,2035,5.5549,Petajoules
all,total,total,reference,2036,12862.4201,Petajoules
AB,total,total,reference,2036,4727.3051,Petajoules
BC,total,total,reference,2036,1413.39,Petajoules
MB,total,total,reference,2036,335.9732,Petajoules
NB,total,total,reference,2036,230.8645,Petajoules
NL,total,total,reference,2036,143.4876,Petajoules
NS,total,total,reference,2036,156.9098,Petajoules
NT,total,total,reference,2036,5.7016,Petajoules
NU,total,total,reference,2036,15.7895,Petajoules
ON,total,total,reference,2036,3218.3706,Petajoules
PE,total,total,reference,2036,27.7592,Petajoules
QC,total,total,reference,2036,1920.3634,Petajoules
SK,total,total,reference,2036,661.0478,Petajoules
YT,total,total,reference,2036,5.4587,Petajoules
all,total,total,reference,2037,12895.384,Petajoules
AB,total,total,reference,2037,4747.6223,Petajoules
BC,total,total,reference,2037,1415.6385,Petajoules
MB,total,total,reference,2037,336.4281,Petajoules
NB,total,total,reference,2037,230.6647,Petajoules
NL,total,total,reference,2037,143.8331,Petajoules
NS,total,total,reference,2037,156.2613,Petajoules
NT,total,total,reference,2037,5.7383,Petajoules
NU,total,total,reference,2037,15.7883,Petajoules
ON,total,total,reference,2037,3223.9546,Petajoules
PE,total,total,reference,2037,27.7006,Petajoules
QC,total,total,reference,2037,1926.8193,Petajoules
SK,total,total,reference,2037,659.7014,Petajoules
YT,total,total,reference,2037,5.2343,Petajoules
all,total,total,reference,2038,12916.6127,Petajoules
AB,total,total,reference,2038,4757.9849,Petajoules
BC,total,total,reference,2038,1418.0904,Petajoules
MB,total,total,reference,2038,336.7697,Petajoules
NB,total,total,reference,2038,230.3291,Petajoules
NL,total,total,reference,2038,142.991,Petajoules
NS,total,total,reference,2038,155.6345,Petajoules
NT,total,total,reference,2038,5.7814,Petajoules
NU,total,total,reference,2038,15.7847,Petajoules
ON,total,total,reference,2038,3228.8026,Petajoules
PE,total,total,reference,2038,27.739,Petajoules
QC,total,total,reference,2038,1932.6643,Petajoules
SK,total,total,reference,2038,658.789,Petajoules
YT,total,total,reference,2038,5.2523,Petajoules
all,total,total,reference,2039,12940.5903,Petajoules
AB,total,total,reference,2039,4773.492,Petajoules
BC,total,total,reference,2039,1419.9293,Petajoules
MB,total,total,reference,2039,337.133,Petajoules
NB,total,total,reference,2039,229.982,Petajoules
NL,total,total,reference,2039,142.3399,Petajoules
NS,total,total,reference,2039,154.9667,Petajoules
NT,total,total,reference,2039,5.8208,Petajoules
NU,total,total,reference,2039,15.777,Petajoules
ON,total,total,reference,2039,3231.9337,Petajoules
PE,total,total,reference,2039,27.6772,Petajoules
QC,total,total,reference,2039,1938.409,Petajoules
SK,total,total,reference,2039,657.7763,Petajoules
YT,total,total,reference,2039,5.3543,Petajoules
all,total,total,reference,2040,12960.0632,Petajoules
AB,total,total,reference,2040,4782.7099,Petajoules
BC,total,total,reference,2040,1421.8552,Petajoules
MB,total,total,reference,2040,337.5841,Petajoules
NB,total,total,reference,2040,229.6441,Petajoules
NL,total,total,reference,2040,141.9381,Petajoules
NS,total,total,reference,2040,154.3527,Petajoules
NT,total,total,reference,2040,5.8637,Petajoules
NU,total,total,reference,2040,15.7746,Petajoules
ON,total,total,reference,2040,3235.8567,Petajoules
PE,total,total,reference,2040,27.6156,Petajoules
QC,total,total,reference,2040,1944.9271,Petajoules
SK,total,total,reference,2040,656.7577,Petajoules
YT,total,total,reference,2040,5.1832,Petajoules
all,total,total,high,2005,10614.8076,Petajoules
AB,total,total,high,2005,2755.7602,Petajoules
BC,total,total,high,2005,1245.7799,Petajoules
MB,total,total,high,2005,291.3872,Petajoules
NB,total,total,high,2005,251.8603,Petajoules
NL,total,total,high,2005,163.1871,Petajoules
NS,total,total,high,2005,203.1823,Petajoules
NT,total,total,high,2005,18.5479,Petajoules
NU,total,total,high,2005,2.3365,Petajoules
ON,total,total,high,2005,3164.717,Petajoules
PE,total,total,high,2005,25.9013,Petajoules
QC,total,total,high,2005,1941.1824,Petajoules
SK,total,total,high,2005,544.0277,Petajoules
YT,total,total,high,2005,6.9362,Petajoules
all,total,total,high,2006,10558.5559,Petajoules
AB,total,total,high,2006,2896.419,Petajoules
BC,total,total,high,2006,1203.4274,Petajoules
MB,total,total,high,2006,275.6617,Petajoules
NB,total,total,high,2006,252.7119,Petajoules
NL,total,total,high,2006,164.1141,Petajoules
NS,total,total,high,2006,197.277,Petajoules
NT,total,total,high,2006,18.908,Petajoules
NU,total,total,high,2006,3.6644,Petajoules
ON,total,total,high,2006,3063.1952,Petajoules
PE,total,total,high,2006,25.566,Petajoules
QC,total,total,high,2006,1916.944,Petajoules
