province,type,scenario,year,value,unit
AB,Total,reference,2035,791.526348667154,Thousand cubic metres
BC,Total,reference,2035,2.7598365273536,Thousand cubic metres
MB,Total,reference,2035,2.85100588951525,Thousand cubic metres
NB,Total,reference,2035,0,Thousand cubic metres
NL,Total,reference,2035,27.3939920845073,Thousand cubic metres
NS,Total,reference,2035,0,Thousand cubic metres
NT,Total,reference,2035,0.776623648231677,Thousand cubic metres
NU,Total,reference,2035,0,Thousand cubic metres
ON,Total,reference,2035,0.115362098620605,Thousand cubic metres
PE,Total,reference,2035,0,Thousand cubic metres
QC,Total,reference,2035,0,Thousand cubic metres
SK,Total,reference,2035,107.074661266754,Thousand cubic metres
YT,Total,reference,2035,0,Thousand cubic metres
all,Total,reference,2036,1064.05537031309,Thousand cubic metres
AB,Total,reference,2036,797.175046783298,Thousand cubic metres
BC,Total,reference,2036,2.80754955755962,Thousand cubic metres
MB,Total,reference,2036,2.86036628103009,Thousand cubic metres
NB,Total,reference,2036,0,Thousand cubic metres
NL,Total,reference,2036,26.3188152132514,Thousand cubic metres
NS,Total,reference,2036,0,Thousand cubic metres
NT,Total,reference,2036,0.753324938784727,Thousand cubic metres
NU,Total,reference,2036,0,Thousand cubic metres
ON,Total,reference,2036,0.114208477634399,Thousand cubic metres
PE,Total,reference,2036,0,Thousand cubic metres
QC,Total,reference,2036,0,Thousand cubic metres
SK,Total,reference,2036,108.39407144156,Thousand cubic metres
YT,Total,reference,2036,0,Thousand cubic metres
all,Total,reference,2037,1073.36945160714,Thousand cubic metres
AB,Total,reference,2037,803.529126658372,Thousand cubic metres
BC,Total,reference,2037,2.86337146712648,Thousand cubic metres
MB,Total,reference,2037,2.86082408300313,Thousand cubic metres
NB,Total,reference,2037,0,Thousand cubic metres
NL,Total,reference,2037,24.5242903897817,Thousand cubic metres
NS,Total,reference,2037,0,Thousand cubic metres
NT,Total,reference,2037,0.722606021836505,Thousand cubic metres
NU,Total,reference,2037,0,Thousand cubic metres
ON,Total,reference,2037,0.111810099604076,Thousand cubic metres
PE,Total,reference,2037,0,Thousand cubic metres
QC,Total,reference,2037,0,Thousand cubic metres
SK,Total,reference,2037,109.915282764331,Thousand cubic metres
YT,Total,reference,2037,0,Thousand cubic metres
