province,type,scenario,year,value,unit
NU,Total,reference,2027,0,Million cubic metres Per Day
ON,Total,reference,2027,0.0001989804187,Million cubic metres Per Day
PE,Total,reference,2027,0,Million cubic metres Per Day
QC,Total,reference,2027,0,Million cubic metres Per Day
SK,Total,reference,2027,11.28780592,Million cubic metres Per Day
YT,Total,reference,2027,0,Million cubic metres Per Day
all,Total,reference,2028,423.2817826,Million cubic metres Per Day
AB,Total,reference,2028,273.41816,Million cubic metres Per Day
BC,Total,reference,2028,138.4529206,Million cubic metres Per Day
MB,Total,reference,2028,0,Million cubic metres Per Day
NB,Total,reference,2028,0.0704207923,Million cubic metres Per Day
NL,Total,reference,2028,0,Million cubic metres Per Day
NS,Total,reference,2028,0,Million cubic metres Per Day
NT,Total,reference,2028,0.005994490335,Million cubic metres Per Day
NU,Total,reference,2028,0,Million cubic metres Per Day
ON,Total,reference,2028,0.00008684276766,Million cubic metres Per Day
PE,Total,reference,2028,0,Million cubic metres Per Day
QC,Total,reference,2028,0,Million cubic metres Per Day
SK,Total,reference,2028,11.33419991,Million cubic metres Per Day
YT,Total,reference,2028,0,Million cubic metres Per Day
all,Total,reference,2029,426.4219598,Million cubic metres Per Day
AB,Total,reference,2029,275.2317521,Million cubic metres Per Day
BC,Total,reference,2029,139.7220188,Million cubic metres Per Day
MB,Total,reference,2029,0,Million cubic metres Per Day
NB,Total,reference,2029,0.06337871307,Million cubic metres Per Day
NL,Total,reference,2029,0,Million cubic metres Per Day
NS,Total,reference,2029,0,Million cubic metres Per Day
NT,Total,reference,2029,0.004423923951,Million cubic metres Per Day
NU,Total,reference,2029,0,Million cubic metres Per Day
ON,Total,reference,2029,0.00003667187774,Million cubic metres Per Day
PE,Total,reference,2029,0,Million cubic metres Per Day
QC,Total,reference,2029,0,Million cubic metres Per Day
SK,Total,reference,2029,11.40034957,Million cubic metres Per Day
YT,Total,reference,2029,0,Million cubic metres Per Day
all,Total,reference,2030,430.1844447,Million cubic metres Per Day
AB,Total,reference,2030,277.491374,Million cubic metres Per Day
BC,Total,reference,2030,141.1479282,Million cubic metres Per Day
MB,Total,reference,2030,0,Million cubic metres Per Day
NB,Total,reference,2030,0.05704084176,Million cubic metres Per Day
NL,Total,reference,2030,0,Million cubic metres Per Day
NS,Total,reference,2030,0,Million cubic metres Per Day
NT,Total,reference,2030,0.003264848558,Million cubic metres Per Day
NU,Total,reference,2030,0,Million cubic metres Per Day
ON,Total,reference,2030,0.0000149854551,Million cubic metres Per Day
PE,Total,reference,2030,0,Million cubic metres Per Day
QC,Total,reference,2030,0,Million cubic metres Per Day
SK,Total,reference,2030,11.48482186,Million cubic metres Per Day
YT,Total,reference,2030,0,Million cubic metres Per Day
all,Total,reference,2031,433.9759482,Million cubic metres Per Day
AB,Total,reference,2031,279.8475495,Million cubic metres Per Day
BC,Total,reference,2031,142.4882253,Million cubic metres Per Day
MB,Total,reference,2031,0,Million cubic metres Per Day
NB,Total,reference,2031,0.05133675758,Million cubic metres Per Day
NL,Total,reference,2031,0,Million cubic metres Per Day
NS,Total,reference,2031,0,Million cubic metres Per Day
NT,Total,reference,2031,0.002409452835,Million cubic metres Per Day
NU,Total,reference,2031,0,Million cubic metres Per Day
ON,Total,reference,2031,0.000005926580562,Million cubic metres Per Day
PE,Total,reference,2031,0,Million cubic metres Per Day
QC,Total,reference,2031,0,Million cubic metres Per Day
SK,Total,reference,2031,11.58642127,Million cubic metres Per Day
YT,Total,reference,2031,0,Million cubic metres Per Day
all,Total,reference,2032,437.9579223,Million cubic metres Per Day
AB,Total,reference,2032,282.3876318,Million cubic metres Per Day
BC,Total,reference,2032,143.8182216,Million cubic metres Per Day
MB,Total,reference,2032,0,Million cubic metres Per Day
NB,Total,reference,2032,0.04620308183,Million cubic metres Per Day
NL,Total,reference,2032,0,Million cubic metres Per Day
NS,Total,reference,2032,0,Million cubic metres Per Day
NT,Total,reference,2032,0.001778172207,Million cubic metres Per Day
NU,Total,reference,2032,0,Million cubic metres Per Day
ON,Total,reference,2032,0.000002268794468,Million cubic metres Per Day
PE,Total,reference,2032,0,Million cubic metres Per Day
QC,Total,reference,2032,0,Million cubic metres Per Day
SK,Total,reference,2032,11.70408543,Million cubic metres Per Day
YT,Total,reference,2032,0,Million cubic metres Per Day
all,Total,reference,2033,442.6648039,Million cubic metres Per Day
AB,Total,reference,2033,285.4634817,Million cubic metres Per Day
BC,Total,reference,2033,145.3569555,Million cubic metres Per Day
MB,Total,reference,2033,0,Million cubic metres Per Day
NB,Total,reference,2033,0.04158277364,Million cubic metres Per Day
NL,Total,reference,2033,0,Million cubic metres Per Day
NS,Total,reference,2033,0,Million cubic metres Per Day
NT,Total,reference,2033,0.001312288147,Million cubic metres Per Day
NU,Total,reference,2033,0,Million cubic metres Per Day
ON,Total,reference,2033,8.408163537e-7,Million cubic metres Per Day
PE,Total,reference,2033,0,Million cubic metres Per Day
QC,Total,reference,2033,0,Million cubic metres Per Day
SK,Total,reference,2033,11.8014708,Million cubic metres Per Day
YT,Total,reference,2033,0,Million cubic metres Per Day
all,Total,reference,2034,447.8976458,Million cubic metres Per Day
AB,Total,reference,2034,288.947196,Million cubic metres Per Day
BC,Total,reference,2034,147.0603679,Million cubic metres Per Day
MB,Total,reference,2034,0,Million cubic metres Per Day
NB,Total,reference,2034,0.03742449628,Million cubic metres Per Day
NL,Total,reference,2034,0,Million cubic metres Per Day
NS,Total,reference,2034,0,Million cubic metres Per Day
NT,Total,reference,2034,0.0009684664818,Million cubic metres Per Day
NU,Total,reference,2034,0,Million cubic metres Per Day
ON,Total,reference,2034,3.017029861e-7,Million cubic metres Per Day
PE,Total,reference,2034,0,Million cubic metres Per Day
QC,Total,reference,2034,0,Million cubic metres Per Day
SK,Total,reference,2034,11.85168864,Million cubic metres Per Day
YT,Total,reference,2034,0,Million cubic metres Per Day
all,Total,reference,2035,453.0773354,Million cubic metres Per Day
AB,Total,reference,2035,292.4684987,Million cubic metres Per Day
BC,Total,reference,2035,148.6873416,Million cubic metres Per Day
MB,Total,reference,2035,0,Million cubic metres Per Day
NB,Total,reference,2035,0.03368204665,Million cubic metres Per Day
NL,Total,reference,2035,0,Million cubic metres Per Day
NS,Total,reference,2035,0,Million cubic metres Per Day
NT,Total,reference,2035,0.0007147266616,Million cubic metres Per Day
NU,Total,reference,2035,0,Million cubic metres Per Day
ON,Total,reference,2035,1.048303611e-7,Million cubic metres Per Day
PE,Total,reference,2035,0,Million cubic metres Per Day
QC,Total,reference,2035,0,Million cubic metres Per Day
SK,Total,reference,2035,11.88709823,Million cubic metres Per Day
YT,Total,reference,2035,0,Million cubic metres Per Day
all,Total,reference,2036,458.1488902,Million cubic metres Per Day
AB,Total,reference,2036,295.9734062,Million cubic metres Per Day
BC,Total,reference,2036,150.2127649,Million cubic metres Per Day
MB,Total,reference,2036,0,Million cubic metres Per Day
NB,Total,reference,2036,0.03031384199,Million cubic metres Per Day
NL,Total,reference,2036,0,Million cubic metres Per Day
NS,Total,reference,2036,0,Million cubic metres Per Day
NT,Total,reference,2036,0.000527467094,Million cubic metres Per Day
NU,Total,reference,2036,0,Million cubic metres Per Day
ON,Total,reference,2036,3.527599384e-8,Million cubic metres Per Day
PE,Total,reference,2036,0,Million cubic metres Per Day
QC,Total,reference,2036,0,Million cubic metres Per Day
SK,Total,reference,2036,11.93187774,Million cubic metres Per Day
YT,Total,reference,2036,0,Million cubic metres Per Day
all,Total,reference,2037,463.111177,Million cubic metres Per Day
AB,Total,reference,2037,299.4601444,Million cubic metres Per Day
BC,Total,reference,2037,151.6379888,Million cubic metres Per Day
MB,Total,reference,2037,0,Million cubic metres Per Day
NB,Total,reference,2037,0.02728245779,Million cubic metres Per Day
NL,Total,reference,2037,0,Million cubic metres Per Day
NS,Total,reference,2037,0,Million cubic metres Per Day
NT,Total,reference,2037,0.0003892698428,Million cubic metres Per Day
NU,Total,reference,2037,0,Million cubic metres Per Day
ON,Total,reference,2037,1.149770019e-8,Million cubic metres Per Day
PE,Total,reference,2037,0,Million cubic metres Per Day
QC,Total,reference,2037,0,Million cubic metres Per Day
