province,type,scenario,year,value,unit
AB,Total,reference,2022,641.1201549,Thousand cubic metres
BC,Total,reference,2022,10.63055173,Thousand cubic metres
MB,Total,reference,2022,3.407912601,Thousand cubic metres
NB,Total,reference,2022,0,Thousand cubic metres
NL,Total,reference,2022,48.15800925,Thousand cubic metres
NS,Total,reference,2022,0,Thousand cubic metres
NT,Total,reference,2022,1.282140314,Thousand cubic metres
NU,Total,reference,2022,0,Thousand cubic metres
ON,Total,reference,2022,0.1460706994,Thousand cubic metres
PE,Total,reference,2022,0,Thousand cubic metres
QC,Total,reference,2022,0,Thousand cubic metres
SK,Total,reference,2022,88.1623464,Thousand cubic metres
YT,Total,reference,2022,0,Thousand cubic metres
all,Total,reference,2023,808.5243829,Thousand cubic metres
AB,Total,reference,2023,651.7880061,Thousand cubic metres
BC,Total,reference,2023,11.37550793,Thousand cubic metres
MB,Total,reference,2023,3.241404713,Thousand cubic metres
NB,Total,reference,2023,0,Thousand cubic metres
NL,Total,reference,2023,49.08197977,Thousand cubic metres
NS,Total,reference,2023,0,Thousand cubic metres
NT,Total,reference,2023,1.243676105,Thousand cubic metres
NU,Total,reference,2023,0,Thousand cubic metres
ON,Total,reference,2023,0.1446099924,Thousand cubic metres
PE,Total,reference,2023,0,Thousand cubic metres
QC,Total,reference,2023,0,Thousand cubic metres
SK,Total,reference,2023,91.64919839,Thousand cubic metres
YT,Total,reference,2023,0,Thousand cubic metres
all,Total,reference,2024,822.786186,Thousand cubic metres
AB,Total,reference,2024,663.5228121,Thousand cubic metres
BC,Total,reference,2024,12.18065668,Thousand cubic metres
MB,Total,reference,2024,3.095321098,Thousand cubic metres
NB,Total,reference,2024,0,Thousand cubic metres
NL,Total,reference,2024,47.42639188,Thousand cubic metres
NS,Total,reference,2024,0,Thousand cubic metres
NT,Total,reference,2024,1.206365821,Thousand cubic metres
NU,Total,reference,2024,0,Thousand cubic metres
ON,Total,reference,2024,0.1431638925,Thousand cubic metres
PE,Total,reference,2024,0,Thousand cubic metres
QC,Total,reference,2024,0,Thousand cubic metres
SK,Total,reference,2024,95.21147452,Thousand cubic metres
YT,Total,reference,2024,0,Thousand cubic metres
all,Total,reference,2025,839.9970692,Thousand cubic metres
AB,Total,reference,2025,679.3499544,Thousand cubic metres
BC,Total,reference,2025,12.92476941,Thousand cubic metres
MB,Total,reference,2025,2.969452256,Thousand cubic metres
NB,Total,reference,2025,0,Thousand cubic metres
NL,Total,reference,2025,45.43103009,Thousand cubic metres
NS,Total,reference,2025,0,Thousand cubic metres
NT,Total,reference,2025,1.170174847,Thousand cubic metres
NU,Total,reference,2025,0,Thousand cubic metres
ON,Total,reference,2025,0.1417322536,Thousand cubic metres
PE,Total,reference,2025,0,Thousand cubic metres
QC,Total,reference,2025,0,Thousand cubic metres
SK,Total,reference,2025,98.00995594,Thousand cubic metres
YT,Total,reference,2025,0,Thousand cubic metres
all,Total,reference,2026,860.2178731,Thousand cubic metres
AB,Total,reference,2026,699.8478502,Thousand cubic metres
BC,Total,reference,2026,13.53686419,Thousand cubic metres
MB,Total,reference,2026,2.862639942,Thousand cubic metres
NB,Total,reference,2026,0,Thousand cubic metres
NL,Total,reference,2026,42.52283628,Thousand cubic metres
NS,Total,reference,2026,0,Thousand cubic metres
NT,Total,reference,2026,1.123706453,Thousand cubic metres
NU,Total,reference,2026,0,Thousand cubic metres
ON,Total,reference,2026,0.1389117817,Thousand cubic metres
PE,Total,reference,2026,0,Thousand cubic metres
QC,Total,reference,2026,0,Thousand cubic metres
SK,Total,reference,2026,100.1850643,Thousand cubic metres
YT,Total,reference,2026,0,Thousand cubic metres
all,Total,reference,2027,874.1333401,Thousand cubic metres
AB,Total,reference,2027,710.7923502,Thousand cubic metres
BC,Total,reference,2027,13.82234421,Thousand cubic metres
MB,Total,reference,2027,2.77580976,Thousand cubic metres
NB,Total,reference,2027,0,Thousand cubic metres
NL,Total,reference,2027,43.38155928,Thousand cubic metres
NS,Total,reference,2027,0,Thousand cubic metres
NT,Total,reference,2027,1.078975726,Thousand cubic metres
NU,Total,reference,2027,0,Thousand cubic metres
ON,Total,reference,2027,0.1361335461,Thousand cubic metres
PE,Total,reference,2027,0,Thousand cubic metres
QC,Total,reference,2027,0,Thousand cubic metres
SK,Total,reference,2027,102.1461673,Thousand cubic metres
YT,Total,reference,2027,0,Thousand cubic metres
all,Total,reference,2028,882.3815233,Thousand cubic metres
AB,Total,reference,2028,720.583833,Thousand cubic metres
BC,Total,reference,2028,13.93700504,Thousand cubic metres
MB,Total,reference,2028,2.701359692,Thousand cubic metres
NB,Total,reference,2028,0,Thousand cubic metres
NL,Total,reference,2028,40.05696778,Thousand cubic metres
NS,Total,reference,2028,0,Thousand cubic metres
NT,Total,reference,2028,1.025267508,Thousand cubic metres
NU,Total,reference,2028,0,Thousand cubic metres
ON,Total,reference,2028,0.1320217573,Thousand cubic metres
PE,Total,reference,2028,0,Thousand cubic metres
QC,Total,reference,2028,0,Thousand cubic metres
SK,Total,reference,2028,103.9450685,Thousand cubic metres
YT,Total,reference,2028,0,Thousand cubic metres
all,Total,reference,2029,906.0575061,Thousand cubic metres
AB,Total,reference,2029,743.1945143,Thousand cubic metres
BC,Total,reference,2029,14.14597885,Thousand cubic metres
MB,Total,reference,2029,2.636869376,Thousand cubic metres
NB,Total,reference,2029,0,Thousand cubic metres
NL,Total,reference,2029,39.32365881,Thousand cubic metres
NS,Total,reference,2029,0,Thousand cubic metres
NT,Total,reference,2029,0.9841500094,Thousand cubic metres
NU,Total,reference,2029,0,Thousand cubic metres
ON,Total,reference,2029,0.1293400654,Thousand cubic metres
PE,Total,reference,2029,0,Thousand cubic metres
QC,Total,reference,2029,0,Thousand cubic metres
SK,Total,reference,2029,105.6429946,Thousand cubic metres
YT,Total,reference,2029,0,Thousand cubic metres
all,Total,reference,2030,922.6782895,Thousand cubic metres
AB,Total,reference,2030,766.7334254,Thousand cubic metres
BC,Total,reference,2030,14.26139901,Thousand cubic metres
MB,Total,reference,2030,2.583357869,Thousand cubic metres
NB,Total,reference,2030,0,Thousand cubic metres
NL,Total,reference,2030,30.64846436,Thousand cubic metres
NS,Total,reference,2030,0,Thousand cubic metres
NT,Total,reference,2030,0.9445768195,Thousand cubic metres
NU,Total,reference,2030,0,Thousand cubic metres
ON,Total,reference,2030,0.1266988051,Thousand cubic metres
PE,Total,reference,2030,0,Thousand cubic metres
QC,Total,reference,2030,0,Thousand cubic metres
SK,Total,reference,2030,107.3803673,Thousand cubic metres
YT,Total,reference,2030,0,Thousand cubic metres
all,Total,reference,2031,936.7313427,Thousand cubic metres
AB,Total,reference,2031,780.6635571,Thousand cubic metres
BC,Total,reference,2031,14.37160188,Thousand cubic metres
MB,Total,reference,2031,2.541725826,Thousand cubic metres
NB,Total,reference,2031,0,Thousand cubic metres
NL,Total,reference,2031,29.03720993,Thousand cubic metres
NS,Total,reference,2031,0,Thousand cubic metres
NT,Total,reference,2031,0.9064922861,Thousand cubic metres
NU,Total,reference,2031,0,Thousand cubic metres
ON,Total,reference,2031,0.124097436,Thousand cubic metres
PE,Total,reference,2031,0,Thousand cubic metres
QC,Total,reference,2031,0,Thousand cubic metres
SK,Total,reference,2031,109.0866583,Thousand cubic metres
YT,Total,reference,2031,0,Thousand cubic metres
all,Total,reference,2032,943.5338949,Thousand cubic metres
AB,Total,reference,2032,785.9522445,Thousand cubic metres
BC,Total,reference,2032,14.50892678,Thousand cubic metres
MB,Total,reference,2032,2.511276286,Thousand cubic metres
NB,Total,reference,2032,0,Thousand cubic metres
NL,Total,reference,2032,28.77989924,Thousand cubic metres
NS,Total,reference,2032,0,Thousand cubic metres
NT,Total,reference,2032,0.8698427055,Thousand cubic metres
NU,Total,reference,2032,0,Thousand cubic metres
ON,Total,reference,2032,0.1215354245,Thousand cubic metres
PE,Total,reference,2032,0,Thousand cubic metres
QC,Total,reference,2032,0,Thousand cubic metres
SK,Total,reference,2032,110.7901699,Thousand cubic metres
YT,Total,reference,2032,0,Thousand cubic metres
all,Total,reference,2033,950.5104328,Thousand cubic metres
AB,Total,reference,2033,792.9964107,Thousand cubic metres
BC,Total,reference,2033,14.67822481,Thousand cubic metres
MB,Total,reference,2033,2.487242307,Thousand cubic metres
NB,Total,reference,2033,0,Thousand cubic metres
NL,Total,reference,2033,26.93805037,Thousand cubic metres
NS,Total,reference,2033,0,Thousand cubic metres
NT,Total,reference,2033,0.8437474243,Thousand cubic metres
NU,Total,reference,2033,0,Thousand cubic metres
ON,Total,reference,2033,0.1203200702,Thousand cubic metres
PE,Total,reference,2033,0,Thousand cubic metres
QC,Total,reference,2033,0,Thousand cubic metres
SK,Total,reference,2033,112.4464372,Thousand cubic metres
YT,Total,reference,2033,0,Thousand cubic metres
all,Total,reference,2034,955.1775504,Thousand cubic metres
AB,Total,reference,2034,797.0983492,Thousand cubic metres
BC,Total,reference,2034,14.86475577,Thousand cubic metres
MB,Total,reference,2034,2.446807765,Thousand cubic metres
NB,Total,reference,2034,0,Thousand cubic metres
NL,Total,reference,2034,27.00868123,Thousand cubic metres
NS,Total,reference,2034,0,Thousand cubic metres
NT,Total,reference,2034,0.8095389689,Thousand cubic metres
NU,Total,reference,2034,0,Thousand cubic metres
ON,Total,reference,2034,0.1178221209,Thousand cubic metres
PE,Total,reference,2034,0,Thousand cubic metres
QC,Total,reference,2034,0,Thousand cubic metres
SK,Total,reference,2034,112.8315954,Thousand cubic metres
YT,Total,reference,2034,0,Thousand cubic metres
all,Total,reference,2035,969.3219247,Thousand cubic metres
AB,Total,reference,2035,809.3154087,Thousand cubic metres
BC,Total,reference,2035,15.04374748,Thousand cubic metres
MB,Total,reference,2035,2.452430174,Thousand cubic metres
NB,Total,reference,2035,0,Thousand cubic metres
NL,Total,reference,2035,26.64015949,Thousand cubic metres
NS,Total,reference,2035,0,Thousand cubic metres
NT,Total,reference,2035,0.7766236482,Thousand cubic metres
NU,Total,reference,2035,0,Thousand cubic metres
ON,Total,reference,2035,0.1153620986,Thousand cubic metres
PE,Total,reference,2035,0,Thousand cubic metres
QC,Total,reference,2035,0,Thousand cubic metres
SK,Total,reference,2035,114.9781931,Thousand cubic metres
YT,Total,reference,2035,0,Thousand cubic metres
all,Total,reference,2036,983.0491028,Thousand cubic metres
AB,Total,reference,2036,823.3509527,Thousand cubic metres
BC,Total,reference,2036,15.21997119,Thousand cubic metres
MB,Total,reference,2036,2.448327108,Thousand cubic metres
NB,Total,reference,2036,0,Thousand cubic metres
NL,Total,reference,2036,24.27528124,Thousand cubic metres
NS,Total,reference,2036,0,Thousand cubic metres
NT,Total,reference,2036,0.7533249388,Thousand cubic metres
NU,Total,reference,2036,0,Thousand cubic metres
ON,Total,reference,2036,0.1142084776,Thousand cubic metres
PE,Total,reference,2036,0,Thousand cubic metres
QC,Total,reference,2036,0,Thousand cubic metres
SK,Total,reference,2036,116.8870371,Thousand cubic metres
YT,Total,reference,2036,0,Thousand cubic metres
all,Total,reference,2037,989.3716727,Thousand cubic metres
AB,Total,reference,2037,829.9753751,Thousand cubic metres
BC,Total,reference,2037,15.38647119,Thousand cubic metres
