province,source,scenario,year,value,unit
PE,total,reference,2029,1029.386,GW.h
QC,total,reference,2029,216515.643,GW.h
SK,total,reference,2029,25217.8363,GW.h
YT,total,reference,2029,594.2254,GW.h
all,total,reference,2030,698708.3558,GW.h
AB,total,reference,2030,95849.6486,GW.h
BC,total,reference,2030,75934.2388,GW.h
MB,total,reference,2030,48122.645,GW.h
NB,total,reference,2030,11038.4533,GW.h
NL,total,reference,2030,43603.4078,GW.h
NS,total,reference,2030,8060.1478,GW.h
NT,total,reference,2030,595.9869,GW.h
NU,total,reference,2030,211.7644,GW.h
ON,total,reference,2030,169218.9567,GW.h
PE,total,reference,2030,1134.505,GW.h
QC,total,reference,2030,218937.8064,GW.h
SK,total,reference,2030,25415.637,GW.h
YT,total,reference,2030,585.1581,GW.h
all,total,reference,2031,703324.3377,GW.h
AB,total,reference,2031,96778.4386,GW.h
BC,total,reference,2031,76010.7624,GW.h
MB,total,reference,2031,48227.774,GW.h
NB,total,reference,2031,11114.0674,GW.h
NL,total,reference,2031,43588.7284,GW.h
NS,total,reference,2031,8079.74,GW.h
NT,total,reference,2031,596.0481,GW.h
NU,total,reference,2031,214.5307,GW.h
ON,total,reference,2031,169501.4758,GW.h
PE,total,reference,2031,1134.505,GW.h
QC,total,reference,2031,221881.1018,GW.h
SK,total,reference,2031,25613.5446,GW.h
YT,total,reference,2031,583.6209,GW.h
all,total,reference,2032,705800.3821,GW.h
AB,total,reference,2032,97454.5506,GW.h
BC,total,reference,2032,75845.9717,GW.h
MB,total,reference,2032,48227.754,GW.h
NB,total,reference,2032,11123.8706,GW.h
NL,total,reference,2032,43616.0212,GW.h
NS,total,reference,2032,8080.6775,GW.h
NT,total,reference,2032,596.1132,GW.h
NU,total,reference,2032,214.5746,GW.h
ON,total,reference,2032,171196.4879,GW.h
PE,total,reference,2032,1134.505,GW.h
QC,total,reference,2032,221987.5159,GW.h
SK,total,reference,2032,25739.5503,GW.h
YT,total,reference,2032,582.7896,GW.h
all,total,reference,2033,708302.1894,GW.h
AB,total,reference,2033,98020.4616,GW.h
BC,total,reference,2033,75958.5526,GW.h
MB,total,reference,2033,48332.873,GW.h
NB,total,reference,2033,11203.1603,GW.h
NL,total,reference,2033,43662.3482,GW.h
NS,total,reference,2033,8084.7358,GW.h
NT,total,reference,2033,596.0718,GW.h
NU,total,reference,2033,215.0992,GW.h
ON,total,reference,2033,172312.6396,GW.h
PE,total,reference,2033,1134.505,GW.h
QC,total,reference,2033,222329.7173,GW.h
SK,total,reference,2033,25867.3064,GW.h
YT,total,reference,2033,584.7186,GW.h
all,total,reference,2034,710716.5825,GW.h
AB,total,reference,2034,98512.8546,GW.h
BC,total,reference,2034,76038.4492,GW.h
MB,total,reference,2034,48332.863,GW.h
NB,total,reference,2034,11176.8234,GW.h
NL,total,reference,2034,43699.3396,GW.h
NS,total,reference,2034,8090.5696,GW.h
NT,total,reference,2034,596.1351,GW.h
NU,total,reference,2034,219.6014,GW.h
ON,total,reference,2034,173737.9379,GW.h
PE,total,reference,2034,1134.505,GW.h
QC,total,reference,2034,222638.0175,GW.h
SK,total,reference,2034,25949.6824,GW.h
YT,total,reference,2034,589.8038,GW.h
all,total,reference,2035,712257.0674,GW.h
AB,total,reference,2035,99259.3283,GW.h
BC,total,reference,2035,76106.201,GW.h
MB,total,reference,2035,48332.904,GW.h
NB,total,reference,2035,11805.3433,GW.h
NL,total,reference,2035,43725.1614,GW.h
NS,total,reference,2035,8092.565,GW.h
NT,total,reference,2035,596.2737,GW.h
NU,total,reference,2035,221.224,GW.h
ON,total,reference,2035,173625.1815,GW.h
PE,total,reference,2035,1134.505,GW.h
QC,total,reference,2035,222711.7694,GW.h
SK,total,reference,2035,26077.7868,GW.h
YT,total,reference,2035,568.824,GW.h
all,total,reference,2036,714592.5755,GW.h
AB,total,reference,2036,99933.3891,GW.h
BC,total,reference,2036,76388.9856,GW.h
MB,total,reference,2036,48332.895,GW.h
NB,total,reference,2036,11807.5204,GW.h
NL,total,reference,2036,43737.3252,GW.h
NS,total,reference,2036,8091.7128,GW.h
NT,total,reference,2036,594.8569,GW.h
NU,total,reference,2036,228.0986,GW.h
ON,total,reference,2036,174726.7208,GW.h
PE,total,reference,2036,1134.505,GW.h
QC,total,reference,2036,222818.6487,GW.h
SK,total,reference,2036,26233.7014,GW.h
YT,total,reference,2036,564.216,GW.h
all,total,reference,2037,716660.9685,GW.h
AB,total,reference,2037,100279.1081,GW.h
BC,total,reference,2037,76578.3217,GW.h
MB,total,reference,2037,48332.894,GW.h
NB,total,reference,2037,11807.5339,GW.h
NL,total,reference,2037,43747.848,GW.h
NS,total,reference,2037,8076.4988,GW.h
NT,total,reference,2037,595.022,GW.h
NU,total,reference,2037,228.3614,GW.h
ON,total,reference,2037,175757.6673,GW.h
PE,total,reference,2037,1134.506,GW.h
QC,total,reference,2037,223202.5057,GW.h
SK,total,reference,2037,26351.8776,GW.h
YT,total,reference,2037,568.824,GW.h
all,total,reference,2038,718483.4696,GW.h
AB,total,reference,2038,100528.1312,GW.h
BC,total,reference,2038,76757.4404,GW.h
MB,total,reference,2038,48332.904,GW.h
NB,total,reference,2038,11806.7175,GW.h
NL,total,reference,2038,43758.2685,GW.h
NS,total,reference,2038,8070.9653,GW.h
NT,total,reference,2038,596.2285,GW.h
NU,total,reference,2038,230.0278,GW.h
ON,total,reference,2038,176687.3219,GW.h
PE,total,reference,2038,1134.505,GW.h
QC,total,reference,2038,223558.1822,GW.h
SK,total,reference,2038,26469.1161,GW.h
YT,total,reference,2038,553.6612,GW.h
all,total,reference,2039,720091.8885,GW.h
AB,total,reference,2039,100852.988,GW.h
BC,total,reference,2039,76919.6425,GW.h
MB,total,reference,2039,48332.885,GW.h
NB,total,reference,2039,11831.1797,GW.h
NL,total,reference,2039,43783.6793,GW.h
NS,total,reference,2039,8049.7947,GW.h
NT,total,reference,2039,596.3791,GW.h
NU,total,reference,2039,234.4862,GW.h
ON,total,reference,2039,177594.0412,GW.h
PE,total,reference,2039,1134.505,GW.h
QC,total,reference,2039,223664.5866,GW.h
SK,total,reference,2039,26572.7422,GW.h
YT,total,reference,2039,524.979,GW.h
all,total,reference,2040,721892.2075,GW.h
AB,total,reference,2040,101145.9786,GW.h
BC,total,reference,2040,77052.6012,GW.h
MB,total,reference,2040,48327.0082,GW.h
NB,total,reference,2040,12268.1318,GW.h
NL,total,reference,2040,43798.8506,GW.h
NS,total,reference,2040,8023.1496,GW.h
NT,total,reference,2040,596.543,GW.h
NU,total,reference,2040,234.9669,GW.h
ON,total,reference,2040,178338.1219,GW.h
PE,total,reference,2040,1134.505,GW.h
QC,total,reference,2040,223770.6837,GW.h
SK,total,reference,2040,26674.105,GW.h
YT,total,reference,2040,527.562,GW.h
all,total,technology,2005,602429.8307,GW.h
AB,total,technology,2005,68442.1496,GW.h
BC,total,technology,2005,67113.8,GW.h
MB,total,technology,2005,36983.53,GW.h
NB,total,technology,2005,21064.4,GW.h
NL,total,technology,2005,42071.2839,GW.h
NS,total,technology,2005,8685.7852,GW.h
NT,total,technology,2005,684.247,GW.h
NU,total,technology,2005,142,GW.h
ON,total,technology,2005,157279.645,GW.h
PE,total,technology,2005,40.879,GW.h
QC,total,technology,2005,179832.077,GW.h
SK,total,technology,2005,19736.9,GW.h
YT,total,technology,2005,353.134,GW.h
all,total,technology,2006,594578.7027,GW.h
AB,total,technology,2006,71783.1506,GW.h
BC,total,technology,2006,60825.3,GW.h
MB,total,technology,2006,34423.1,GW.h
NB,total,technology,2006,18204.6,GW.h
NL,total,technology,2006,42810.8849,GW.h
NS,total,technology,2006,8712.9852,GW.h
NT,total,technology,2006,684.247,GW.h
NU,total,technology,2006,145,GW.h
ON,total,technology,2006,157288.445,GW.h
PE,total,technology,2006,36.879,GW.h
QC,total,technology,2006,179704.477,GW.h
SK,total,technology,2006,19606.5,GW.h
YT,total,technology,2006,353.134,GW.h
all,total,technology,2007,617115.2557,GW.h
AB,total,technology,2007,72542.3436,GW.h
BC,total,technology,2007,71074.3,GW.h
MB,total,technology,2007,34429.2,GW.h
NB,total,technology,2007,16937.761,GW.h
NL,total,technology,2007,41590.2839,GW.h
NS,total,technology,2007,9903.2852,GW.h
NT,total,technology,2007,684.247,GW.h
NU,total,technology,2007,149,GW.h
ON,total,technology,2007,157462.645,GW.h
PE,total,technology,2007,40.879,GW.h
QC,total,technology,2007,191333.277,GW.h
SK,total,technology,2007,20614.9,GW.h
YT,total,technology,2007,353.134,GW.h
all,total,technology,2008,619623.2855,GW.h
AB,total,technology,2008,71654.4621,GW.h
BC,total,technology,2008,64821.5,GW.h
MB,total,technology,2008,35561.3,GW.h
NB,total,technology,2008,14271.994,GW.h
NL,total,technology,2008,43386.0003,GW.h
NS,total,technology,2008,10778.6269,GW.h
NT,total,technology,2008,739.575,GW.h
NU,total,technology,2008,182,GW.h
ON,total,technology,2008,162642.1522,GW.h
PE,total,technology,2008,147.482,GW.h
QC,total,technology,2008,193301.531,GW.h
SK,total,technology,2008,21765.6,GW.h
YT,total,technology,2008,371.062,GW.h
all,total,technology,2009,594620.2012,GW.h
AB,total,technology,2009,72166.9892,GW.h
BC,total,technology,2009,61365.8,GW.h
MB,total,technology,2009,34185.9,GW.h
NB,total,technology,2009,13110.441,GW.h
NL,total,technology,2009,38399.2162,GW.h
NS,total,technology,2009,10345.3384,GW.h
NT,total,technology,2009,641.952,GW.h
NU,total,technology,2009,162,GW.h
ON,total,technology,2009,146787.1384,GW.h
PE,total,technology,2009,354.721,GW.h
QC,total,technology,2009,195933.979,GW.h
SK,total,technology,2009,20768.9,GW.h
YT,total,technology,2009,397.826,GW.h
all,total,technology,2010,588782.4655,GW.h
AB,total,technology,2010,73569.9093,GW.h
BC,total,technology,2010,61233.365,GW.h
MB,total,technology,2010,33756.9,GW.h
NB,total,technology,2010,11188.449,GW.h
NL,total,technology,2010,41934.1991,GW.h
NS,total,technology,2010,11244.5853,GW.h
NT,total,technology,2010,520.758,GW.h
NU,total,technology,2010,162,GW.h
ON,total,technology,2010,149729.0128,GW.h
PE,total,technology,2010,463,GW.h
QC,total,technology,2010,184167.188,GW.h
SK,total,technology,2010,20407.8,GW.h
YT,total,technology,2010,405.299,GW.h
all,total,technology,2011,615253.0608,GW.h
AB,total,technology,2011,73055.008,GW.h
BC,total,technology,2011,69011.923,GW.h
MB,total,technology,2011,35114.6,GW.h
NB,total,technology,2011,11885.287,GW.h
NL,total,technology,2011,41703.6518,GW.h
NS,total,technology,2011,11232.5387,GW.h
NT,total,technology,2011,452.344,GW.h
NU,total,technology,2011,98,GW.h
ON,total,technology,2011,154116.8553,GW.h
PE,total,technology,2011,493,GW.h
QC,total,technology,2011,196469.216,GW.h
SK,total,technology,2011,21195.3,GW.h
YT,total,technology,2011,425.337,GW.h
all,total,technology,2012,623308.2768,GW.h
AB,total,technology,2012,75079.16969,GW.h
BC,total,technology,2012,73155.7109,GW.h
MB,total,technology,2012,33214.8872,GW.h
NB,total,technology,2012,10388.481,GW.h
NL,total,technology,2012,43798.7301,GW.h
NS,total,technology,2012,10305.7005,GW.h
NT,total,technology,2012,447.999,GW.h
NU,total,technology,2012,98,GW.h
ON,total,technology,2012,153908.0134,GW.h
PE,total,technology,2012,481.163,GW.h
QC,total,technology,2012,200726.118,GW.h
SK,total,technology,2012,21249.3,GW.h
YT,total,technology,2012,455.004,GW.h
all,total,technology,2013,643421.1819,GW.h
AB,total,technology,2013,78052.1,GW.h
BC,total,technology,2013,66037.156,GW.h
MB,total,technology,2013,36345.6582,GW.h
NB,total,technology,2013,15086.212,GW.h
NL,total,technology,2013,43240.0784,GW.h
NS,total,technology,2013,9402.5017,GW.h
NT,total,technology,2013,561.283,GW.h
NU,total,technology,2013,98,GW.h
ON,total,technology,2013,161049.3696,GW.h
PE,total,technology,2013,506.168,GW.h
QC,total,technology,2013,209489.9,GW.h
SK,total,technology,2013,23182,GW.h
YT,total,technology,2013,370.755,GW.h
all,total,technology,2014,645579.2938,GW.h
AB,total,technology,2014,82803.8379,GW.h
BC,total,technology,2014,66386.573,GW.h
MB,total,technology,2014,35569.5479,GW.h
NB,total,technology,2014,16318.814,GW.h
NL,total,technology,2014,41055,GW.h
NS,total,technology,2014,10643.3551,GW.h
NT,total,technology,2014,708.916,GW.h
NU,total,technology,2014,158,GW.h
ON,total,technology,2014,161261.0439,GW.h
PE,total,technology,2014,604,GW.h
QC,total,technology,2014,206496.7,GW.h
SK,total,technology,2014,23215,GW.h
YT,total,technology,2014,358.506,GW.h
all,total,technology,2015,645981.1789,GW.h
AB,total,technology,2015,81551.5262,GW.h
BC,total,technology,2015,71859.4478,GW.h
MB,total,technology,2015,36066.74,GW.h
NB,total,technology,2015,13795.6973,GW.h
NL,total,technology,2015,41771.5251,GW.h
NS,total,technology,2015,9013.6588,GW.h
NT,total,technology,2015,665.7518,GW.h
NU,total,technology,2015,156.113,GW.h
ON,total,technology,2015,160422.3442,GW.h
PE,total,technology,2015,592,GW.h
QC,total,technology,2015,206149.198,GW.h
SK,total,technology,2015,23494.358,GW.h
YT,total,technology,2015,442.8187,GW.h
