province,sector,source,scenario,year,value,unit
NL,total,total,reference,2021,167.7387,Petajoules
NS,total,total,reference,2021,161.0235,Petajoules
NT,total,total,reference,2021,18.0267,Petajoules
NU,total,total,reference,2021,6.2781,Petajoules
ON,total,total,reference,2021,3189.6348,Petajoules
PE,total,total,reference,2021,25.5044,Petajoules
QC,total,total,reference,2021,1822.3712,Petajoules
SK,total,total,reference,2021,708.9758,Petajoules
YT,total,total,reference,2021,4.6714,Petajoules
all,total,total,reference,2022,12018.6097,Petajoules
AB,total,total,reference,2022,4167.9101,Petajoules
BC,total,total,reference,2022,1214.8116,Petajoules
MB,total,total,reference,2022,316.9251,Petajoules
NB,total,total,reference,2022,225.6113,Petajoules
NL,total,total,reference,2022,170.4182,Petajoules
NS,total,total,reference,2022,159.9099,Petajoules
NT,total,total,reference,2022,17.5434,Petajoules
NU,total,total,reference,2022,6.3299,Petajoules
ON,total,total,reference,2022,3179.98,Petajoules
PE,total,total,reference,2022,25.3697,Petajoules
QC,total,total,reference,2022,1819.0564,Petajoules
SK,total,total,reference,2022,709.7886,Petajoules
YT,total,total,reference,2022,4.9562,Petajoules
all,total,total,reference,2023,12014.9371,Petajoules
AB,total,total,reference,2023,4182.1161,Petajoules
BC,total,total,reference,2023,1212.3999,Petajoules
MB,total,total,reference,2023,316.0222,Petajoules
NB,total,total,reference,2023,226.1394,Petajoules
NL,total,total,reference,2023,170.5338,Petajoules
NS,total,total,reference,2023,158.7553,Petajoules
NT,total,total,reference,2023,17.1551,Petajoules
NU,total,total,reference,2023,6.3818,Petajoules
ON,total,total,reference,2023,3169.8802,Petajoules
PE,total,total,reference,2023,25.2265,Petajoules
QC,total,total,reference,2023,1815.4783,Petajoules
SK,total,total,reference,2023,709.8679,Petajoules
YT,total,total,reference,2023,4.9806,Petajoules
all,total,total,reference,2024,12021.6692,Petajoules
AB,total,total,reference,2024,4202.5053,Petajoules
BC,total,total,reference,2024,1212.2475,Petajoules
MB,total,total,reference,2024,314.8169,Petajoules
NB,total,total,reference,2024,225.4997,Petajoules
NL,total,total,reference,2024,168.1192,Petajoules
NS,total,total,reference,2024,157.5224,Petajoules
NT,total,total,reference,2024,16.8388,Petajoules
NU,total,total,reference,2024,6.4079,Petajoules
ON,total,total,reference,2024,3162.2326,Petajoules
PE,total,total,reference,2024,25.1252,Petajoules
QC,total,total,reference,2024,1811.4624,Petajoules
SK,total,total,reference,2024,711.048,Petajoules
YT,total,total,reference,2024,7.8436,Petajoules
all,total,total,reference,2025,12029.8727,Petajoules
AB,total,total,reference,2025,4228.1277,Petajoules
BC,total,total,reference,2025,1209.9992,Petajoules
MB,total,total,reference,2025,313.7743,Petajoules
NB,total,total,reference,2025,225.7151,Petajoules
NL,total,total,reference,2025,164.9153,Petajoules
NS,total,total,reference,2025,156.3738,Petajoules
NT,total,total,reference,2025,16.5645,Petajoules
NU,total,total,reference,2025,6.3992,Petajoules
ON,total,total,reference,2025,3153.7348,Petajoules
PE,total,total,reference,2025,25.0344,Petajoules
QC,total,total,reference,2025,1807.2713,Petajoules
SK,total,total,reference,2025,713.0082,Petajoules
YT,total,total,reference,2025,8.9547,Petajoules
all,total,total,reference,2026,12034.8728,Petajoules
AB,total,total,reference,2026,4261.2769,Petajoules
BC,total,total,reference,2026,1208.1498,Petajoules
MB,total,total,reference,2026,312.7585,Petajoules
NB,total,total,reference,2026,223.6613,Petajoules
NL,total,total,reference,2026,160.5259,Petajoules
NS,total,total,reference,2026,155.0681,Petajoules
NT,total,total,reference,2026,16.3222,Petajoules
NU,total,total,reference,2026,6.3946,Petajoules
ON,total,total,reference,2026,3140.5274,Petajoules
PE,total,total,reference,2026,24.8964,Petajoules
QC,total,total,reference,2026,1803.1364,Petajoules
SK,total,total,reference,2026,713.6391,Petajoules
YT,total,total,reference,2026,8.5167,Petajoules
all,total,total,reference,2027,12028.9706,Petajoules
AB,total,total,reference,2027,4272.2897,Petajoules
BC,total,total,reference,2027,1207.4818,Petajoules
MB,total,total,reference,2027,311.9371,Petajoules
NB,total,total,reference,2027,220.9607,Petajoules
NL,total,total,reference,2027,161.2169,Petajoules
NS,total,total,reference,2027,154.0553,Petajoules
NT,total,total,reference,2027,16.0952,Petajoules
NU,total,total,reference,2027,6.3945,Petajoules
ON,total,total,reference,2027,3130.4617,Petajoules
PE,total,total,reference,2027,24.7891,Petajoules
QC,total,total,reference,2027,1801.2918,Petajoules
SK,total,total,reference,2027,713.9552,Petajoules
YT,total,total,reference,2027,8.0418,Petajoules
all,total,total,reference,2028,12018.5731,Petajoules
AB,total,total,reference,2028,4282.0506,Petajoules
BC,total,total,reference,2028,1206.3211,Petajoules
MB,total,total,reference,2028,311.2045,Petajoules
NB,total,total,reference,2028,218.8915,Petajoules
NL,total,total,reference,2028,155.3943,Petajoules
NS,total,total,reference,2028,153.2224,Petajoules
NT,total,total,reference,2028,15.8839,Petajoules
